GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Eval_inputContext,39,0,2,0,9,0,8,0,7,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Return_stmtContext,18,7,2,0,3,3,3,2,2,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Del_stmtContext,25,0,2,0,6,0,5,0,4,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.SubscriptContext,28,7,2,0,5,3,5,2,4,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.While_stmtContext,35,0,2,0,8,0,7,0,6,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Yield_exprContext,25,0,2,0,6,0,5,0,4,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Small_stmtContext,60,7,2,0,10,3,10,2,9,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Import_as_nameContext,28,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Break_stmtContext,19,0,2,0,5,0,4,0,3,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Except_clauseContext,30,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.ComparisonContext,32,7,2,0,6,3,6,2,5,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Pass_stmtContext,19,0,2,0,5,0,4,0,3,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.DecoratorContext,36,0,2,0,8,0,7,0,6,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Dotted_as_namesContext,29,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.DictorsetmakerContext,48,7,2,0,9,3,9,2,8,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.VfpdefContext,24,0,2,0,6,0,5,0,4,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Test_nocondContext,31,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.AnnassignContext,29,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Xor_exprContext,22,7,2,0,4,3,4,2,3,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Nonlocal_stmtContext,28,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Import_nameContext,25,0,2,0,6,0,5,0,4,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.DecoratorsContext,29,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Dotted_as_nameContext,30,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Import_as_namesContext,29,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.TrailerContext,29,7,2,0,5,3,5,2,4,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Comp_iterContext,31,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.With_itemContext,31,0,2,0,7,0,6,0,5,0
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Comp_forContext,35,7,2,0,6,3,6,2,5,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.ExprlistContext,32,7,2,0,6,3,6,2,5,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Not_testContext,24,7,2,0,4,3,4,2,3,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Testlist_compContext,38,7,2,0,7,3,7,2,6,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.For_stmtContext,34,7,2,0,6,3,6,2,5,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.Simple_stmtContext,27,7,2,0,5,3,5,2,4,2
plagiarismchecker,com.northeastern.msd.team102.plagiarismchecker.antlr.grammer,grammerParser.TfpdefContext,23,7,2,0,4,3,4,2,3,2
